,Name,Position,Number,Height,Academic Year,Hometown,Highschool,Weight,Year,Team
6,Bobby Belair,M,8,6' 2'',Jr.,"Myrtle Beach, SC",Socastee,175 lbs,2011,mens soccer
7,Austin Mandel,F,9,5' 5'',Sr.,"Tarzana, CA",Montclair Prep,145 lbs,2011,mens soccer
8,Sean Rosa,F,10,5' 8'',Sr.,"Montreal, Quebec",Vincent Massey Collegiate,155 lbs,2011,mens soccer
9,Evan Coleman,M/D,11,6' 1'',Sr.,"Amherst, MA",Amherst Regional,185 lbs,2011,mens soccer
10,Kevin  Gavey,M/D,12,5' 11'',Jr.,"Fairfield, CT",Fairfield Warde,165 lbs,2011,mens soccer
11,Ben Maurey,F,13,6' 5'',Fr.,"Downingtown, PA",Malvern Prep,200 lbs,2011,mens soccer
12,Rob Medairos,M,14,5' 9'',Sr.,"Stafford, VA",Mountain View,150 lbs,2011,mens soccer
13,Taylor Gorman,M,15,6' 1'',Sr.,"Freeport, ME",North Yarmouth Academy,180 lbs,2011,mens soccer
14,Eric Robertson ,D,16,6' 3'',Jr.,"San Antonio, TX",Churchill High,180 lbs,2011,mens soccer
15,Tommy Arns,M,17,5' 10'',Fr.,"Barrington, IL",Barrington Community School,165 lbs,2011,mens soccer
16,Jordan Mandelbaum,D,18,5' 10'',Fr.,"Los Angeles, CA",Brentwood,160 lbs,2011,mens soccer
17,Daniel Taylor,M,19,6' 0'',Fr.,"Greenwich, CT",Brunswick School,160 lbs,2011,mens soccer
18,Jay Hayward,M,20,5' 11'',Sr.,"Acton, MA",Acton-Boxborough Regional,160 lbs,2011,mens soccer
19,Jack Kuntz,M,21,6' 0'',So.,"Chatham, NJ",Chatham,165 lbs,2011,mens soccer
20,Voltaire Escalona,F,22,6' 0'',So.,"Blue Bell, PA",Germantown Academy,180 lbs,2011,mens soccer
21,Jose Salama,F,23,6' 1'',So.,"Madrid, Spai",St. Anne's School,160 lbs,2011,mens soccer
22,Mike Manella,M,24,5' 8'',Sr.,"Toluca Lake, CA",The Buckley School,150 lbs,2011,mens soccer
23,Cyrus Mahler,M,25,6' 2'',Fr.,"Geneva, Switzerland",Int'l School of Geneva,175 lbs,2011,mens soccer
24,Sam Kernan-Schloss,GK,26,6' 0'',Jr.,"Arlington, VA",Sidwell Friends,165 lbs,2011,mens soccer
25,Mitch Kupstas,GK,27,6' 1'',Fr.,"Suwanee, GA",Peachtree Ridge,185 lbs,2011,mens soccer
26,T.J. Popolizio,F,30,5' 7'',Sr.,"Rexford, NY",Shenendehowa,140 lbs,2011,mens soccer
0,Josh Weiner,GK,1,6' 2'',Jr.,"Armonk, NY",Byram Hills,185 lbs,2012,mens soccer
1,Alex Markes,D,3,6' 0'',So.,"Valencia, CA",Harvard-Westlake,180 lbs,2012,mens soccer
2,Jameson Lochhead,D/M,4,6' 3'',Fr.,"Basking Ridge, NJ",Ridge High School,190 lbs,2012,mens soccer
3,Ryan McDuff,D,5,6' 2'',Sr.,"Plano, TX",Plano Senior ,195 lbs,2012,mens soccer
4,Dylan Remick,D,6,6' 0'',Sr.,"Inverness, IL",Loyola Academy,165 lbs,2012,mens soccer
5,Thomas McNamara,M,7,5' 9'',Sr.,"West Nyack, NY",Don Bosco Preparatory ,165 lbs,2012,mens soccer
6,Voltaire Escalona,F,8,5' 11'',Jr.,"Blue Bell, PA",Germantown Academy,170 lbs,2012,mens soccer
7,Jose Salama,F,9,6' 0'',Jr.,"Madrid, Spai",St. Anne's School,175 lbs,2012,mens soccer
8,Bobby Belair,M,10,6' 2'',Sr.,"Myrtle Beach, SC",Socastee,175 lbs,2012,mens soccer
9,Jack Kuntz,M,11,6' 0'',Jr.,"Chatham, NJ",Chatham,165 lbs,2012,mens soccer
10,Kevin  Gavey,M/D,12,5' 11'',Sr.,"Fairfield, CT",Fairfield Warde,165 lbs,2012,mens soccer
11,Ben Maurey,F,13,6' 5'',So.,"Downingtown, PA",Malvern Prep,200 lbs,2012,mens soccer
12,Michel Comitis,M,14,5' 9'',Fr.,"Capetown, South Africa",Bishops Diocesan College,150 lbs,2012,mens soccer
13,Tariq Akeel,M,15,6' 1'',Fr.,"Rochester Hills, MI",Detroit Country Day,170 lbs,2012,mens soccer
14,Eric Robertson ,D,16,6' 3'',Sr.,"San Antonio, TX",Churchill High,190 lbs,2012,mens soccer
15,Tommy Arns,M,17,5' 10'',So.,"Barrington, IL",Barrington Community School,165 lbs,2012,mens soccer
16,Daniel Taylor,M,19,5' 11'',So.,"Greenwich, CT",Brunswick School,165 lbs,2012,mens soccer
17,Will Cross,F,20,6' 0'',Fr.,"Nashville, TN",Martin Luther King Magnet School,175 lbs,2012,mens soccer
18,Tyler Smith,D,21,6' 1'',Fr.,"Kingwood, Texas",Kingwood Park,165 lbs,2012,mens soccer
19,Jack Gorab,D,23,5' 8'',Fr.,"Newport Beach, CA",Corona del Mar,150 lbs,2012,mens soccer
20,Eduardo Martin,M,25,6' 1'',Fr.,"Madrid, Spai",British School,170 lbs,2012,mens soccer
21,Sam Kernan-Schloss,GK,26,6' 0'',Sr.,"Arlington, VA",Sidwell Friends,180 lbs,2012,mens soccer
22,Mitch Kupstas,GK,27,6' 0'',So.,"Suwanee, GA",Peachtree Ridge,175 lbs,2012,mens soccer
23,Tim Whalen,D,29,6' 3'',Fr.,"Amston, CT",RHAM High School,185 lbs,2012,mens soccer
0,Josh Weiner,GK,1,6' 2'',Sr.,"Armonk, NY",Byram Hills,185 lbs,2013,mens soccer
1,Alex Markes,D,3,6' 0'',Jr.,"Valencia, CA",Harvard-Westlake,180 lbs,2013,mens soccer
2,Jameson Lochhead,D,4,6' 3'',So.,"Basking Ridge, NJ",Ridge High School,190 lbs,2013,mens soccer
3,Mike Leone,D,5,5' 9'',Fr.,"Saint Clair Shores, MI",De La Salle Collegiate,170 lbs,2013,mens soccer
4,Jason Pesek,D,6,5' 11'',Fr.,"St. Louis, MO",Chaminade,165 lbs,2013,mens soccer
5,Will Cross,F,7,6' 0'',So.,"Nashville, TN",Martin Luther King Magnet School,175 lbs,2013,mens soccer
6,Voltaire Escalona,F,8,5' 11'',Sr.,"Blue Bell, PA",Germantown Academy,170 lbs,2013,mens soccer
7,Jose Salama,F,9,6' 0'',Sr.,"Madrid, Spai",St. Anne's School,175 lbs,2013,mens soccer
8,Michel Comitis,M,10,5' 9'',So.,"Capetown, South Africa",Bishops Diocesan College,150 lbs,2013,mens soccer
9,Jack Kuntz,M,11,6' 0'',Sr.,"Chatham, NJ",Chatham,165 lbs,2013,mens soccer
10,Nate Pomeroy,F,12,6' 1'',Fr.,"Groton, MA",Groton-Dunstable,175 lbs,2013,mens soccer
11,Ben Maurey,F,13,6' 5'',Jr.,"Downingtown, PA",Malvern Prep,200 lbs,2013,mens soccer
12,Tyler Long,F,14,5' 10'',Fr.,"Clarksville, TN",Rossview,165 lbs,2013,mens soccer
13,Tariq Akeel,M,15,6' 1'',So.,"Rochester Hills, MI",Detroit Country Day,170 lbs,2013,mens soccer
14,Josh Butler,D/M,16,6' 0'',Fr.,"Virginia Beach, VA",Frank W. Cox,165 lbs,2013,mens soccer
15,Tommy Arns,M,17,5' 10'',Jr.,"Barrington, IL",Barrington Community School,165 lbs,2013,mens soccer
16,Eric Sugarman,M,18,5' 7'',Fr.,"Livingston, NJ",Livingston,155 lbs,2013,mens soccer
17,Daniel Taylor,M,19,5' 11'',Jr.,"Greenwich, CT",Brunswick School,165 lbs,2013,mens soccer
18,Christian Rodriguez,D,20,6' 0'',Fr.,"New York, NY",Dalton School,160 lbs,2013,mens soccer
19,Tyler Smith,D/M,21,6' 1'',So.,"Kingwood, Texas",Kingwood Park,165 lbs,2013,mens soccer
20,Otis Booz,D/M,22,6' 0'',So.,"Cambridge, MA",Cambridge Rindge &amp; Latin,160 lbs,2013,mens soccer
21,Jack Gorab,D/M,23,5' 8'',So.,"Newport Beach, CA",Corona del Mar,150 lbs,2013,mens soccer
22,Eduardo Martin,M,25,6' 1'',So.,"Tenerif, Spai",British School,170 lbs,2013,mens soccer
23,Erik Hanson,GK,26,6' 4'',Fr.,"Mechanicsburg, PA",Mechanicsburg,200 lbs,2013,mens soccer
24,Mitch Kupstas,GK,27,6' 0'',Jr.,"Suwanee, GA",Peachtree Ridge,175 lbs,2013,mens soccer
25,Tim Whalen,D,29,6' 3'',So.,"Amston, CT",RHAM High School,185 lbs,2013,mens soccer
0,Erik Hanson,GK,1,6' 4'',So.,"Mechanicsburg, PA",Mechanicsburg,200 lbs,2014,mens soccer
1,Alex Markes,D,3,6' 0'',Sr.,"Valencia, CA",Harvard-Westlake,180 lbs,2014,mens soccer
2,Jameson Lochhead,D,4,6' 3'',Jr.,"Basking Ridge, NJ",Ridge High School,190 lbs,2014,mens soccer
3,Mike Leone,D/M,5,5' 9'',So.,"Saint Clair Shores, MI",De La Salle Collegiate,170 lbs,2014,mens soccer
4,Jason Pesek,D,6,5' 11'',So.,"St. Louis, MO",Chaminade,165 lbs,2014,mens soccer
5,Will Cross,F,7,6' 0'',Jr.,"Nashville, TN",Martin Luther King Magnet School,175 lbs,2014,mens soccer
6,Eric Sugarman,M,8,5' 7'',So.,"Livingston, NJ",Livingston,155 lbs,2014,mens soccer
7,Tyler Long,F,9,5' 10'',So.,"Clarksville, TN",Rossview,165 lbs,2014,mens soccer
8,Eduardo Martin,M,10,6' 1'',Jr.,"Tenerife, Spai",British School,170 lbs,2014,mens soccer
9,Ben Maurey,F,11,6' 5'',Sr.,"Downingtown, PA",Malvern Prep,200 lbs,2014,mens soccer
10,Nate Pomeroy,F,12,6' 1'',So.,"Groton, MA",Groton-Dunstable,175 lbs,2014,mens soccer
11,Gabe Welp,D,13,6' 3'',Fr.,"West Chester, Ohi",Lakota West,200 lbs,2014,mens soccer
12,Trey Thomas,D,14,6' 3'',Fr.,"Gettysburg, Pa.",Gettysburg Area,205 lbs,2014,mens soccer
13,Tariq Akeel,M,15,6' 1'',Jr.,"Rochester Hills, MI",Detroit Country Day,170 lbs,2014,mens soccer
14,Josh Butler,M,16,6' 0'',So.,"Virginia Beach, VA",Frank W. Cox,165 lbs,2014,mens soccer
15,Tommy Arns,M,17,5' 10'',Sr.,"Barrington, IL",Barrington Community School,165 lbs,2014,mens soccer
16,Quinn English,M,18,6' 1'',Fr.,"Milwaukee, Wis.",Marquette University,180 lbs,2014,mens soccer
17,Daniel Taylor,M,19,5' 11'',Sr.,"Greenwich, CT",Brunswick School,165 lbs,2014,mens soccer
18,Christian Rodriguez,D,20,6' 0'',So.,"New York, NY",Dalton School,160 lbs,2014,mens soccer
19,Tyler Smith,M,21,6' 1'',Jr.,"Kingwood, Texas",Kingwood Park,165 lbs,2014,mens soccer
20,Otis Booz,D/M,22,6' 0'',Jr.,"Cambridge, MA",Cambridge Rindge &amp; Latin,160 lbs,2014,mens soccer
21,Jack Gorab,M,23,5' 8'',Jr.,"Newport Beach, CA",Corona del Mar,150 lbs,2014,mens soccer
22,James Myall,M,24,5' 9'',Fr.,"St. Charles, Ill.",St. Charles East,165 lbs,2014,mens soccer
23,Nico Lozada,M,25,5' 10'',Fr.,"Dallas, Texas",JJ Pearce,150 lbs,2014,mens soccer
24,Joey Cipicchio,GK,26,5' 11'',Fr.,"Columbus, Ohi",Worthington Kilbourne,167 lbs,2014,mens soccer
25,Mitch Kupstas,GK,27,6' 0'',Sr.,"Suwanee, GA",Peachtree Ridge,175 lbs,2014,mens soccer
26,Louis Zingas,D/M,28,5' 11'',Fr.,"Warren, Mich.",De La Salle Collegiate,170 lbs,2014,mens soccer
27,Tim Whalen,D,29,6' 3'',Jr.,"Amston, CT",RHAM High School,185 lbs,2014,mens soccer
0,Erik Hanson,GK,1,6' 4'',Jr.,"Mechanicsburg, PA",Mechanicsburg,200 lbs,2015,mens soccer
1,Jack Hagstrom,D,3,6' 4'',Fr.,"Middleton, Wis.",Middleton,180 lbs,2015,mens soccer
2,Jameson Lochhead,D,4,6' 3'',Sr.,"Basking Ridge, NJ",Ridge High School,190 lbs,2015,mens soccer
3,Mike Leone,D/M,5,5' 9'',Jr.,"Saint Clair Shores, MI",De La Salle Collegiate,170 lbs,2015,mens soccer
4,Jason Pesek,D,6,5' 11'',Jr.,"St. Louis, MO",Chaminade,165 lbs,2015,mens soccer
5,Will Cross,F,7,6' 0'',Sr.,"Nashville, TN",Martin Luther King Magnet School,175 lbs,2015,mens soccer
6,Eric Sugarman,M,8,5' 7'',Jr.,"Livingston, NJ",Livingston,155 lbs,2015,mens soccer
7,Tyler Long,F,9,5' 10'',Jr.,"Clarksville, TN",Rossview,165 lbs,2015,mens soccer
8,Matthew Chow,F,10,5' 9'',Fr.,"Vancouver, British Columbia",Vancouver College,148 lbs,2015,mens soccer
9,Quinn English,M,11,6' 1'',So.,"Milwaukee, Wis.",Marquette University,180 lbs,2015,mens soccer
10,Nate Pomeroy,F,12,6' 1'',Jr.,"Groton, MA",Groton-Dunstable,175 lbs,2015,mens soccer
11,Gabe Welp,D,13,6' 3'',So.,"West Chester, Ohi",Lakota West,200 lbs,2015,mens soccer
12,Trey Thomas,D,14,6' 3'',So.,"Gettysburg, Pa.",Gettysburg Area,205 lbs,2015,mens soccer
13,Tariq Akeel,M,15,6' 1'',Sr.,"Rochester Hills, MI",Detroit Country Day,170 lbs,2015,mens soccer
14,Josh Butler,M,16,6' 0'',Jr.,"Virginia Beach, VA",Frank W. Cox,165 lbs,2015,mens soccer
15,William Van Zandt,D/M,17,5' 10'',Fr.,"Los Angeles, Calif.",Campbell Hall,155 lbs,2015,mens soccer
16,Teo Norhagen,GK,18,6' 1'',Fr.,"Stockholm, Swed",Viktor Rydberg Gymnasium,194 lbs,2015,mens soccer
17,Dean Bloembergen,M,19,5' 10'',Fr.,"Okemos, Mich.",Okemos,165 lbs,2015,mens soccer
18,Christian Rodriguez,D,20,6' 0'',Jr.,"New York, NY",Dalton School,160 lbs,2015,mens soccer
19,Tyler Smith,M,21,6' 1'',Sr.,"Kingwood, Texas",Kingwood Park,165 lbs,2015,mens soccer
20,Carl Johan Mix,M,22,5' 9'',Fr.,"Stockholm, Swed",Viktor Rydberg Gymnasium,157 lbs,2015,mens soccer
21,Jack Gorab,M,23,5' 8'',Sr.,"Newport Beach, CA",Corona del Mar,150 lbs,2015,mens soccer
22,James Myall,M,24,5' 9'',So.,"St. Charles, Ill.",St. Charles East,165 lbs,2015,mens soccer
23,Nico Lozada,M,25,5' 10'',So.,"Dallas, Texas",JJ Pearce,150 lbs,2015,mens soccer
24,Joey Cipicchio,GK,26,5' 11'',So.,"Columbus, Ohi",Worthington Kilbourne,167 lbs,2015,mens soccer
25,Justin O'Brien,D,27,6' 0'',Fr.,"Montclair, N.J.",Montclair,178 lbs,2015,mens soccer
26,Louis Zingas,D/M,28,5' 11'',So.,"Warren, Mich.",De La Salle Collegiate,170 lbs,2015,mens soccer
27,Tim Whalen,D,29,6' 3'',Sr.,"Amston, CT",RHAM High School,185 lbs,2015,mens soccer
0,Erik Hanson,GK,1,6' 4'',Sr.,"Mechanicsburg, PA",Mechanicsburg,200 lbs,2016,mens soccer
1,Jack Hagstrom,D,3,6' 4'',So.,"Middleton, Wis.",Middleton,180 lbs,2016,mens soccer
2,Jackson Goebel,D,4,5' 11'',Fr.,"uston, Texas",Klein,170 lbs,2016,mens soccer
3,Joseph Lee,M,5,5' 8'',Fr.,"Vernon Hills, Ill.",Vernon Hills,150 lbs,2016,mens soccer
4,Jason Pesek,D,6,5' 11'',Sr.,"St. Louis, MO",Chaminade,165 lbs,2016,mens soccer
5,Will Cross,F,7,6' 0'',Sr.,"Nashville, TN",Martin Luther King Magnet School,175 lbs,2016,mens soccer
6,Eric Sugarman,M,8,5' 7'',Sr.,"Livingston, NJ",Livingston,155 lbs,2016,mens soccer
7,Tyler Long,F,9,5' 10'',Sr.,"Clarksville, TN",Rossview,165 lbs,2016,mens soccer
8,Matthew Chow,M,10,5' 9'',So.,"Vancouver, British Columbia",Vancouver College,148 lbs,2016,mens soccer
9,Quinn English,M,11,6' 1'',Jr.,"Milwaukee, Wis.",Marquette University,180 lbs,2016,mens soccer
10,Nate Pomeroy,F,12,6' 1'',Sr.,"Groton, MA",Groton-Dunstable,175 lbs,2016,mens soccer
11,Gabe Welp,D,13,6' 3'',Jr.,"West Chester, Ohi",Lakota West,200 lbs,2016,mens soccer
12,Rodrigo D'Andrea,M,14,6' 2'',Fr.,"Sao Paulo, Brazil",The Dwight School,162 lbs,2016,mens soccer
13,Carl Johan Mix,D,15,5' 9'',So.,"Stockholm, Swed",Viktor Rydberg Gymnasium,157 lbs,2016,mens soccer
14,Josh Butler,M,16,6' 0'',Sr.,"Virginia Beach, VA",Frank W. Cox,165 lbs,2016,mens soccer
15,William Van Zandt,D,17,5' 10'',So.,"Los Angeles, Calif.",Campbell Hall,155 lbs,2016,mens soccer
16,Teo Norhagen,GK,18,6' 1'',So.,"Stockholm, Swed",Viktor Rydberg Gymnasium,194 lbs,2016,mens soccer
17,Dean Bloembergen,M,19,5' 10'',So.,"Okemos, Mich.",Okemos,165 lbs,2016,mens soccer
18,Christian Rodriguez,D,20,6' 0'',Sr.,"New York, NY",Dalton School,160 lbs,2016,mens soccer
19,Nico Lozada,M,21,5' 10'',Jr.,"Dallas, Texas",JJ Pearce,150 lbs,2016,mens soccer
20,Connor Gregory,M,22,6' 0'',Fr.,"Swarthmore, Pa.",The Haverford School,169 lbs,2016,mens soccer
21,Zac Anderson,D,23,5' 8'',Fr.,"Granite Bay, Calif.",Granite Bay,150 lbs,2016,mens soccer
22,James Myall,M,24,5' 9'',Jr.,"St. Charles, Ill.",St. Charles East,165 lbs,2016,mens soccer
23,Daniel Schiller,M,25,6' 0'',Fr.,"Glenview, Ill.",Glenbrook South,160 lbs,2016,mens soccer
24,Joey Cipicchio,GK,26,5' 11'',Jr.,"Columbus, Ohi",Worthington Kilbourne,167 lbs,2016,mens soccer
25,Justin O'Brien,D,27,6' 0'',So.,"Montclair, N.J.",Montclair,178 lbs,2016,mens soccer
26,Louis Zingas,D,28,5' 11'',Jr.,"Warren, Mich.",De La Salle Collegiate,170 lbs,2016,mens soccer
27,Austin Lind,F,29,6' 3'',Fr.,"North Kingstown, R.I.",North Kingstown,170 lbs,2016,mens soccer
0,Jack Hagstrom,D,3,6' 4'',Jr.,"Middleton, Wis.",Middleton,180 lbs,2017,mens soccer
1,Justin O'Brien,D,4,6' 0'',Jr.,"Montclair, N.J.",Montclair,178 lbs,2017,mens soccer
2,Joseph Lee,M,5,5' 8'',So.,"Vernon Hills, Ill.",Vernon Hills,150 lbs,2017,mens soccer
3,Will Mims,D,6,6' 0'',Fr.,"Asheville, N.C.",AC Reynolds,175 lbs,2017,mens soccer
4,Jackson Goebel,D,7,5' 11'',So.,"uston, Texas",Klein,170 lbs,2017,mens soccer
5,Rodrigo D'Andrea,M,8,6' 2'',So.,"Sao Paulo, Brazil",The Dwight School,162 lbs,2017,mens soccer
6,Toby Howell,F,9,6' 1'',Jr.,"Bradenton, Fla.",Saint Stephens Episcopal,165 lbs,2017,mens soccer
7,Nathan Plano,F,10,5' 8'',Fr.,"Reading, Mass.",Reading Memorial,160 lbs,2017,mens soccer
8,Quinn English,M,11,6' 1'',Sr.,"Milwaukee, Wis.",Marquette University,180 lbs,2017,mens soccer
9,Will Hayward,D,12,6' 2'',Fr.,"Torrance, Calif.",South Torrance,180 lbs,2017,mens soccer
10,Gabe Welp,D,13,6' 3'',Sr.,"West Chester, Ohi",Lakota West,200 lbs,2017,mens soccer
11,John Vrablic,F/M,14,6' 4'',Fr.,"Avon, Ohi",Saint Ignatius,172 lbs,2017,mens soccer
12,Carl Johan Mix,D,15,5' 9'',Jr.,"Stockholm, Swed",Viktor Rydberg Gymnasium,157 lbs,2017,mens soccer
13,Carson Atherley,M,16,6' 0'',Fr.,"Bangor, Mai",Bangor,170 lbs,2017,mens soccer
14,William Van Zandt,D,17,5' 10'',Jr.,"Los Angeles, Calif.",Campbell Hall,155 lbs,2017,mens soccer
15,Max Gross,GK,18,6' 2'',Fr.,"alifax, Nova Scotia",Phillips Exeter Academy,190 lbs,2017,mens soccer
16,Jacob Kauppinen,M,20,5' 11'',Fr.,Fort Lauderdal,Pine Crest School,160 lbs,2017,mens soccer
17,Nico Lozada,M,21,5' 10'',Sr.,"Dallas, Texas",JJ Pearce,150 lbs,2017,mens soccer
18,Connor Gregory,M,22,6' 0'',So.,"Swarthmore, Pa.",The Haverford School,169 lbs,2017,mens soccer
19,Zac Anderson,D,23,5' 8'',So.,"Granite Bay, Calif.",Granite Bay,150 lbs,2017,mens soccer
20,James Myall,M,24,5' 9'',Sr.,"St. Charles, Ill.",St. Charles East,165 lbs,2017,mens soccer
21,Daniel Schiller,M,25,6' 0'',So.,"Glenview, Ill.",Glenbrook South,160 lbs,2017,mens soccer
22,Joey Cipicchio,GK,26,5' 11'',Sr.,"Columbus, Ohi",Worthington Kilbourne,167 lbs,2017,mens soccer
23,Alex Lee,F,27,6' 0'',So.,"Los Angeles, Calif.",Brentwood School,180 lbs,2017,mens soccer
24,Louis Zingas,D,28,5' 11'',Sr.,"Warren, Mich.",De La Salle Collegiate,170 lbs,2017,mens soccer
25,Austin Lind,F,29,6' 3'',So.,"North Kingstown, R.I.",North Kingstown,170 lbs,2017,mens soccer
26,Logan Cho,GK,33,5' 11'',So.,"Lewisburg, Pa.",Lewisburg,170 lbs,2017,mens soccer
0,James Swomley,GK,1,6' 5'',Fr.,"Newton, Mass.",Newton North,180 lbs,2018,mens soccer
1,Jack Hagstrom,D,3,6' 4'',Sr.,"Middleton, Wis.",Middleton,180 lbs,2018,mens soccer
2,Justin O'Brien,D,4,6' 0'',Sr.,"Montclair, N.J.",Montclair,178 lbs,2018,mens soccer
3,Joseph Lee,M,5,5' 8'',Jr.,"Vernon Hills, Ill.",Vernon Hills,150 lbs,2018,mens soccer
4,Will Mims,D,6,6' 0'',So.,"Asheville, N.C.",AC Reynolds,175 lbs,2018,mens soccer
5,Jackson Goebel,D,7,5' 11'',Jr.,"uston, Texas",Klein,170 lbs,2018,mens soccer
6,Rodrigo D'Andrea,M,8,6' 2'',Jr.,"Sao Paulo, Brazil",The Dwight School,162 lbs,2018,mens soccer
7,Toby Howell,F,9,6' 1'',Sr.,"Bradenton, Fla.",Saint Stephens Episcopal,165 lbs,2018,mens soccer
8,Matthew Chow,M,10,5' 9'',Jr.,"Vancouver, British Columbia",Vancouver College,148 lbs,2018,mens soccer
9,Alex Mina,F,11,6' 5'',Fr.,"Aldie, Va.",John Champe,182 lbs,2018,mens soccer
10,Will Hayward,D,12,6' 2'',So.,"Torrance, Calif.",South Torrance,180 lbs,2018,mens soccer
11,Gabe Welp,D,13,6' 3'',Sr.,"West Chester, Ohi",Lakota West,200 lbs,2018,mens soccer
12,John Vrablic,F/M,14,6' 4'',So.,"Avon, Ohi",Saint Ignatius,172 lbs,2018,mens soccer
13,Malcolm Johnson,F,15,5' 8'',Fr.,"Wilmington, Del.",Tower Hill School,150 lbs,2018,mens soccer
14,Will Crain,D,16,6' 1'',Fr.,"Athens, Ga.",Laurel Springs School,162 lbs,2018,mens soccer
15,Max Gross,GK,18,6' 2'',So.,"alifax, Nova Scotia",Phillips Exeter Academy,190 lbs,2018,mens soccer
16,Derek Waleffe,M,19,5' 11'',Fr.,"Madison, Wis.",Middleton,150 lbs,2018,mens soccer
17,Jaylim Aboneaaj,M,20,5' 9'',Fr.,"Suwanee, Ga.",North Gwinnett,155 lbs,2018,mens soccer
18,Nathan Plano,F,21,5' 8'',So.,"Reading, Mass.",Reading Memorial,160 lbs,2018,mens soccer
19,Zac Anderson,D,23,5' 8'',Jr.,"Granite Bay, Calif.",Granite Bay,150 lbs,2018,mens soccer
20,Nicolas Perez,M,24,6' 0'',Fr.,"Atlanta, Ga.",Atlanta International,165 lbs,2018,mens soccer
21,Daniel Schiller,M,25,6' 0'',Jr.,"Glenview, Ill.",Glenbrook South,160 lbs,2018,mens soccer
